,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text,Unnamed: 9,Unnamed: 10,Unnamed: 11
704,ass,DeborahParr,1.33E+18,11-11-2020 06:56,0,,,1,He’d have my phone wedged up his ass sideways.,,,
1915,boobies,MaxZorin85,1.33E+18,11-11-2020 07:35,4,,,0,Yep 100% agree and the same with severine in skyfall. I really don’t get how those scenes got agreed by Barbara. Zoom in on some boobies in OP and it’s “sexist pig” but verge on edge of sexual assault and it’s ok in SF/SP,,,
2856,eat pussy,PRISJ1_,1.33E+18,11-11-2020 10:36,0,,,1,Stop having sex with men that won’t eat your pussy 🚩🚩🚩🚩,,,
2163,Breast Man,Teresamckenzy1,1.33E+18,10-11-2020 20:52,0,,,1,"When you see a sad man, just give him breast to suck. Even if he's a stranger. Let him suck breast and be happy.",,,
2852,eat pussy,sj__vazquez,1.33E+18,11-11-2020 10:42,0,,,1,We can't be together if you don't eat pussy,,,
2040,boobies,sushiluvsyou,1.33E+18,11-11-2020 06:08,1,,,1,// nsfw ( ? ) SAMATOKI BOOBIES BIG BAHONKA DONKS MOMMY MILKERS OH MT GODDDNWUWHDHSH WOOOAHGGGA IM GONNA WHHHHRHHRHH TIDDIES IN MY MOUTH NOWWWW,,,
1438,big butt,alissajo17,1.33E+18,11-11-2020 06:30,1,,,0,I wish I could give my bitmoji a big butt,,,
257,Aroused,NikkiBogopo,1.33E+18,10-11-2020 21:37,0,,,1,"Is there a word for hungry and aroused like “hangry” but “horngry”? As in “On Saturday mornings, she tended to wake up rather horngry”.",,,
173,Aroused,IquantumstateI,1.33E+18,10-11-2020 22:17,0,,,1,Licking your whole body until you become so aroused you cum 😳,,,
2991,eat pussy,urcuddlybaby,1.33E+18,11-11-2020 08:05,0,,,1,"i think it would be lots of fun for me to eat out a cute girl while she is on zoom, seeing her suffer to stay quiet, seeing…",,,
1157,Ball licker,sweetesthabit,1.32E+18,06-11-2020 15:59,5,,,0,"""I have a feeling you're a ball licker. Suck my dick.",,,
